GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestionComptes,System,Client,24,59,0,2,10,15,6,5,6,4
GestionComptes,System,Compte,24,58,2,2,10,16,9,6,7,6
